Date, Price_Inc_VAT, Price_Ex_VAT
25-Mar-24,20.42,19.45
26-Mar-24,20.48,19.5
27-Mar-24,19.24,18.32
28-Mar-24,19.26,18.34
29-Mar-24,18.97,18.07
30-Mar-24,19.98,19.03
31-Mar-24,19.8,18.86
1-Apr-24,18.94,18.04
2-Apr-24,19.89,18.94
3-Apr-24,18.83,17.93
4-Apr-24,19.11,18.2
5-Apr-24,16.73,15.93
6-Apr-24,12.26,11.68
7-Apr-24,12.56,11.96
8-Apr-24,18.57,17.69
9-Apr-24,17.47,16.64
10-Apr-24,17.72,16.88
11-Apr-24,17.07,16.26
12-Apr-24,14.66,13.96
13-Apr-24,12.88,12.27
14-Apr-24,13.87,13.21
15-Apr-24,15.06,14.34
16-Apr-24,16.59,15.8
17-Apr-24,20.43,19.46
18-Apr-24,20.95,19.95
19-Apr-24,17.56,16.72
20-Apr-24,20.23,19.27
21-Apr-24,20.03,19.08
22-Apr-24,21.13,20.12
23-Apr-24,20.72,19.73
24-Apr-24,20.52,19.54
25-Apr-24,20.94,19.94
26-Apr-24,21.02,20.02
27-Apr-24,20.69,19.7
28-Apr-24,20.24,19.28
29-Apr-24,19.75,18.81
30-Apr-24,19.47,18.54
1-May-24,20.11,19.15
2-May-24,19.33,18.41
3-May-24,20.36,19.39
4-May-24,20.54,19.56
5-May-24,21.07,20.07
6-May-24,21.13,20.12
7-May-24,21.14,20.13
8-May-24,21.12,20.11
9-May-24,20.43,19.46
10-May-24,20.61,19.63
11-May-24,20.25,19.29
12-May-24,17.12,16.3
13-May-24,19.54,18.61
14-May-24,19.49,18.56
15-May-24,20.35,19.38
16-May-24,20.72,19.73
17-May-24,20.8,19.81
18-May-24,20.59,19.61
19-May-24,20.31,19.34
20-May-24,20.84,19.85
21-May-24,21.53,20.5
22-May-24,20.88,19.89
23-May-24,19.68,18.74
24-May-24,22.27,21.21
25-May-24,21.38,20.36
26-May-24,20.8,19.81
27-May-24,21.34,20.32
28-May-24,21.65,20.62
29-May-24,20.81,19.82
30-May-24,19.83,18.89
31-May-24,20.13,19.17
1-Jun-24,19.59,18.66
2-Jun-24,20.19,19.23
3-Jun-24,21.57,20.54
4-Jun-24,20.74,19.75
5-Jun-24,19.27,18.35
6-Jun-24,21.32,20.3
7-Jun-24,19.74,18.8
8-Jun-24,15.38,14.65
9-Jun-24,15.21,14.49
10-Jun-24,20.57,19.59
11-Jun-24,20.5,19.52
12-Jun-24,22.31,21.25
13-Jun-24,21.57,20.54
14-Jun-24,20.22,19.26
15-Jun-24,20.86,19.87
16-Jun-24,18.66,17.77
17-Jun-24,22.08,21.03
18-Jun-24,22.27,21.21
19-Jun-24,21.68,20.65
20-Jun-24,21.91,20.87
21-Jun-24,21.51,20.49
22-Jun-24,21.19,20.18
23-Jun-24,20.65,19.67
24-Jun-24,21.8,20.76
25-Jun-24,21.85,20.81
26-Jun-24,21.51,20.49
27-Jun-24,19.23,18.31
28-Jun-24,15.73,14.98
29-Jun-24,21.48,20.46
30-Jun-24,20.93,19.93
1-Jul-24,21.56,20.53
2-Jul-24,20.86,19.87
3-Jul-24,20.27,19.3
4-Jul-24,12.82,12.21
