Valid_From_UTC,Valid_To_UTC,Valid_From_Local,Valid_To_Local,Price_Inc_VAT,Price_Ex_VAT
10/13/22 4:30,10/13/22 5:00,10/13/22 5:30,10/13/22 6:00,34.55,32.9
10/13/22 5:00,10/13/22 5:30,10/13/22 6:00,10/13/22 6:30,35.8,34.09
10/13/22 5:30,10/13/22 6:00,10/13/22 6:30,10/13/22 7:00,35.8,34.09
10/13/22 6:00,10/13/22 6:30,10/13/22 7:00,10/13/22 7:30,35.8,34.09
10/13/22 6:30,10/13/22 7:00,10/13/22 7:30,10/13/22 8:00,37.15,35.38
10/13/22 7:00,10/13/22 7:30,10/13/22 8:00,10/13/22 8:30,37.15,35.38
10/13/22 7:30,10/13/22 8:00,10/13/22 8:30,10/13/22 9:00,37.15,35.38
10/13/22 8:00,10/13/22 8:30,10/13/22 9:00,10/13/22 9:30,37.15,35.38
10/13/22 8:30,10/13/22 9:00,10/13/22 9:30,10/13/22 10:00,35.8,34.09
10/13/22 9:00,10/13/22 9:30,10/13/22 10:00,10/13/22 10:30,37.15,35.38
10/13/22 9:30,10/13/22 10:00,10/13/22 10:30,10/13/22 11:00,35.8,34.09
10/13/22 10:00,10/13/22 10:30,10/13/22 11:00,10/13/22 11:30,35.8,34.09
10/13/22 10:30,10/13/22 11:00,10/13/22 11:30,10/13/22 12:00,35.8,34.09
10/13/22 11:00,10/13/22 11:30,10/13/22 12:00,10/13/22 12:30,35.8,34.09
10/13/22 11:30,10/13/22 12:00,10/13/22 12:30,10/13/22 13:00,35.8,34.09
10/13/22 12:00,10/13/22 12:30,10/13/22 13:00,10/13/22 13:30,35.8,34.09
10/13/22 12:30,10/13/22 13:00,10/13/22 13:30,10/13/22 14:00,35.8,34.09
10/13/22 13:00,10/13/22 13:30,10/13/22 14:00,10/13/22 14:30,35.8,34.09
10/13/22 13:30,10/13/22 14:00,10/13/22 14:30,10/13/22 15:00,35.8,34.09
10/13/22 14:00,10/13/22 14:30,10/13/22 15:00,10/13/22 15:30,35.8,34.09
10/13/22 14:30,10/13/22 15:00,10/13/22 15:30,10/13/22 16:00,35.8,34.09
10/13/22 15:00,10/13/22 15:30,10/13/22 16:00,10/13/22 16:30,36.75,35.0
10/13/22 15:30,10/13/22 16:00,10/13/22 16:30,10/13/22 17:00,37.15,35.38
10/13/22 16:00,10/13/22 16:30,10/13/22 17:00,10/13/22 17:30,37.15,35.38
10/13/22 16:30,10/13/22 17:00,10/13/22 17:30,10/13/22 18:00,37.15,35.38
10/13/22 17:00,10/13/22 17:30,10/13/22 18:00,10/13/22 18:30,37.15,35.38
10/13/22 17:30,10/13/22 18:00,10/13/22 18:30,10/13/22 19:00,37.15,35.38
10/13/22 18:00,10/13/22 18:30,10/13/22 19:00,10/13/22 19:30,37.15,35.38
10/13/22 18:30,10/13/22 19:00,10/13/22 19:30,10/13/22 20:00,35.8,34.09
10/13/22 19:00,10/13/22 19:30,10/13/22 20:00,10/13/22 20:30,35.8,34.09
10/13/22 19:30,10/13/22 20:00,10/13/22 20:30,10/13/22 21:00,34.86,33.2
10/13/22 20:00,10/13/22 20:30,10/13/22 21:00,10/13/22 21:30,35.8,34.09
10/13/22 20:30,10/13/22 21:00,10/13/22 21:30,10/13/22 22:00,35.8,34.09
10/13/22 21:00,10/13/22 21:30,10/13/22 22:00,10/13/22 22:30,35.8,34.09
10/13/22 21:30,10/13/22 22:00,10/13/22 22:30,10/13/22 23:00,33.41,31.82
10/13/22 22:00,10/13/22 22:30,10/13/22 23:00,10/13/22 23:30,32.91,31.34
10/13/22 22:30,10/13/22 23:00,10/13/22 23:30,10/14/22 0:00,25.98,24.74
10/13/22 23:00,10/13/22 23:30,10/14/22 0:00,10/14/22 0:30,28.64,27.28
10/13/22 23:30,10/14/22 0:00,10/14/22 0:30,10/14/22 1:00,28.64,27.28
10/14/22 0:00,10/14/22 0:30,10/14/22 1:00,10/14/22 1:30,25.98,24.74
10/14/22 0:30,10/14/22 1:00,10/14/22 1:30,10/14/22 2:00,27.89,26.56
10/14/22 1:00,10/14/22 1:30,10/14/22 2:00,10/14/22 2:30,28.5,27.14
10/14/22 1:30,10/14/22 2:00,10/14/22 2:30,10/14/22 3:00,28.5,27.14
10/14/22 2:00,10/14/22 2:30,10/14/22 3:00,10/14/22 3:30,28.56,27.2
10/14/22 2:30,10/14/22 3:00,10/14/22 3:30,10/14/22 4:00,28.56,27.2
10/14/22 3:00,10/14/22 3:30,10/14/22 4:00,10/14/22 4:30,31.65,30.14
10/14/22 3:30,10/14/22 4:00,10/14/22 4:30,10/14/22 5:00,26.25,25.0
10/14/22 4:00,10/14/22 4:30,10/14/22 5:00,10/14/22 5:30,30.16,28.72
