price,is_weekend_holiday,hour,day_of_week,month,is_dst
28.1,False,0,0,1,False
33.0,False,1,0,1,False
32.9,False,2,0,1,False
28.1,False,3,0,1,False
27.6,False,4,0,1,False
24.6,False,5,0,1,False
20.1,False,6,0,1,False
19.9,False,7,0,1,False
19.84,False,8,0,1,False
19.9,False,9,0,1,False
19.9,False,10,0,1,False
19.9,False,11,0,1,False
23.6,False,12,0,1,False
25.1,False,13,0,1,False
23.6,False,14,0,1,False
24.6,False,15,0,1,False
25.1,False,16,0,1,False
27.6,False,17,0,1,False
27.6,False,18,0,1,False
28.1,False,19,0,1,False
32.9,False,20,0,1,False
28.1,False,21,0,1,False
28.1,False,22,0,1,False
19.9,False,0,1,1,False
27.6,False,1,1,1,False
19.9,False,2,1,1,False
19.84,False,3,1,1,False
19.1,False,4,1,1,False
19.9,False,5,1,1,False
22.58,False,6,1,1,False
41.92,False,7,1,1,False
47.95,False,8,1,1,False
49.9,False,9,1,1,False
50.5,False,10,1,1,False
49.7,False,11,1,1,False
48.16,False,12,1,1,False
48.02,False,13,1,1,False
47.64,False,14,1,1,False
46.38,False,15,1,1,False
46.4,False,16,1,1,False
49.71,False,17,1,1,False
52.25,False,18,1,1,False
53.47,False,19,1,1,False
55.54,False,20,1,1,False
55.02,False,21,1,1,False
50.5,False,22,1,1,False
28.1,False,0,2,1,False
40.69,False,1,2,1,False
30.69,False,2,2,1,False
30.69,False,3,2,1,False
30.69,False,4,2,1,False
30.69,False,5,2,1,False
39.11,False,6,2,1,False
41.69,False,7,2,1,False
51.76,False,8,2,1,False
53.9,False,9,2,1,False
54.45,False,10,2,1,False
53.42,False,11,2,1,False
52.26,False,12,2,1,False
52.0,False,13,2,1,False
50.76,False,14,2,1,False
49.96,False,15,2,1,False
49.48,False,16,2,1,False
51.0,False,17,2,1,False
53.05,False,18,2,1,False
53.47,False,19,2,1,False
53.9,False,20,2,1,False
53.42,False,21,2,1,False
51.01,False,22,2,1,False
41.11,False,0,3,1,False
44.19,False,1,3,1,False
42.11,False,2,3,1,False
41.11,False,3,3,1,False
41.09,False,4,3,1,False
40.08,False,5,3,1,False
39.11,False,6,3,1,False
39.1,False,7,3,1,False
47.23,False,8,3,1,False
49.14,False,9,3,1,False
49.63,False,10,3,1,False
48.86,False,11,3,1,False
48.36,False,12,3,1,False
48.19,False,13,3,1,False
45.58,False,14,3,1,False
44.19,False,15,3,1,False
44.19,False,16,3,1,False
50.08,False,17,3,1,False
49.96,False,18,3,1,False
49.14,False,19,3,1,False
49.36,False,20,3,1,False
48.97,False,21,3,1,False
48.11,False,22,3,1,False
34.85,False,0,4,1,False
34.85,False,1,4,1,False
20.1,False,2,4,1,False
16.1,False,3,4,1,False
14.6,False,4,4,1,False
13.51,False,5,4,1,False
23.96,False,6,4,1,False
40.1,False,7,4,1,False
49.34,False,8,4,1,False
51.73,False,9,4,1,False
53.27,False,10,4,1,False
52.02,False,11,4,1,False
51.95,False,12,4,1,False
52.02,False,13,4,1,False
51.95,False,14,4,1,False
52.53,False,15,4,1,False
53.99,False,16,4,1,False
56.35,False,17,4,1,False
58.19,False,18,4,1,False
58.76,False,19,4,1,False
60.58,False,20,4,1,False
61.01,False,21,4,1,False
58.05,False,22,4,1,False
57.56,True,0,5,1,False
51.99,True,1,5,1,False
44.19,True,2,5,1,False
40.01,True,3,5,1,False
30.75,True,4,5,1,False
