year,month,day_of_month,hour,minute,price,is_weekend_holiday,day_of_week,is_dst
2018,1,1,0,0,28.1,False,0,False
2018,1,1,1,0,33.0,False,0,False
2018,1,1,2,0,32.9,False,0,False
2018,1,1,3,0,28.1,False,0,False
2018,1,1,4,0,27.6,False,0,False
2018,1,1,5,0,24.6,False,0,False
2018,1,1,6,0,20.1,False,0,False
2018,1,1,7,0,19.9,False,0,False
2018,1,1,8,0,19.84,False,0,False
2018,1,1,9,0,19.9,False,0,False
2018,1,1,10,0,19.9,False,0,False
2018,1,1,11,0,19.9,False,0,False
2018,1,1,12,0,23.6,False,0,False
2018,1,1,13,0,25.1,False,0,False
2018,1,1,14,0,23.6,False,0,False
2018,1,1,15,0,24.6,False,0,False
2018,1,1,16,0,25.1,False,0,False
2018,1,1,17,0,27.6,False,0,False
2018,1,1,18,0,27.6,False,0,False
2018,1,1,19,0,28.1,False,0,False
2018,1,1,20,0,32.9,False,0,False
2018,1,1,21,0,28.1,False,0,False
2018,1,1,22,0,28.1,False,0,False
2018,1,2,0,0,19.9,False,1,False
2018,1,2,1,0,27.6,False,1,False
2018,1,2,2,0,19.9,False,1,False
2018,1,2,3,0,19.84,False,1,False
2018,1,2,4,0,19.1,False,1,False
2018,1,2,5,0,19.9,False,1,False
2018,1,2,6,0,22.58,False,1,False
2018,1,2,7,0,41.92,False,1,False
2018,1,2,8,0,47.95,False,1,False
2018,1,2,9,0,49.9,False,1,False
2018,1,2,10,0,50.5,False,1,False
2018,1,2,11,0,49.7,False,1,False
2018,1,2,12,0,48.16,False,1,False
2018,1,2,13,0,48.02,False,1,False
2018,1,2,14,0,47.64,False,1,False
2018,1,2,15,0,46.38,False,1,False
2018,1,2,16,0,46.4,False,1,False
2018,1,2,17,0,49.71,False,1,False
2018,1,2,18,0,52.25,False,1,False
2018,1,2,19,0,53.47,False,1,False
2018,1,2,20,0,55.54,False,1,False
2018,1,2,21,0,55.02,False,1,False
2018,1,2,22,0,50.5,False,1,False
2018,1,3,0,0,28.1,False,2,False
2018,1,3,1,0,40.69,False,2,False
2018,1,3,2,0,30.69,False,2,False
2018,1,3,3,0,30.69,False,2,False
2018,1,3,4,0,30.69,False,2,False
2018,1,3,5,0,30.69,False,2,False
2018,1,3,6,0,39.11,False,2,False
2018,1,3,7,0,41.69,False,2,False
2018,1,3,8,0,51.76,False,2,False
2018,1,3,9,0,53.9,False,2,False
2018,1,3,10,0,54.45,False,2,False
2018,1,3,11,0,53.42,False,2,False
2018,1,3,12,0,52.26,False,2,False
2018,1,3,13,0,52.0,False,2,False
2018,1,3,14,0,50.76,False,2,False
2018,1,3,15,0,49.96,False,2,False
2018,1,3,16,0,49.48,False,2,False
2018,1,3,17,0,51.0,False,2,False
2018,1,3,18,0,53.05,False,2,False
2018,1,3,19,0,53.47,False,2,False
2018,1,3,20,0,53.9,False,2,False
2018,1,3,21,0,53.42,False,2,False
2018,1,3,22,0,51.01,False,2,False
2018,1,4,0,0,41.11,False,3,False
2018,1,4,1,0,44.19,False,3,False
2018,1,4,2,0,42.11,False,3,False
2018,1,4,3,0,41.11,False,3,False
2018,1,4,4,0,41.09,False,3,False
2018,1,4,5,0,40.08,False,3,False
2018,1,4,6,0,39.11,False,3,False
2018,1,4,7,0,39.1,False,3,False
2018,1,4,8,0,47.23,False,3,False
2018,1,4,9,0,49.14,False,3,False
2018,1,4,10,0,49.63,False,3,False
2018,1,4,11,0,48.86,False,3,False
2018,1,4,12,0,48.36,False,3,False
2018,1,4,13,0,48.19,False,3,False
2018,1,4,14,0,45.58,False,3,False
2018,1,4,15,0,44.19,False,3,False
2018,1,4,16,0,44.19,False,3,False
2018,1,4,17,0,50.08,False,3,False
2018,1,4,18,0,49.96,False,3,False
2018,1,4,19,0,49.14,False,3,False
2018,1,4,20,0,49.36,False,3,False
2018,1,4,21,0,48.97,False,3,False
2018,1,4,22,0,48.11,False,3,False
2018,1,5,0,0,34.85,False,4,False
2018,1,5,1,0,34.85,False,4,False
2018,1,5,2,0,20.1,False,4,False
2018,1,5,3,0,16.1,False,4,False
2018,1,5,4,0,14.6,False,4,False
2018,1,5,5,0,13.51,False,4,False
2018,1,5,6,0,23.96,False,4,False
2018,1,5,7,0,40.1,False,4,False
2018,1,5,8,0,49.34,False,4,False
2018,1,5,9,0,51.73,False,4,False
2018,1,5,10,0,53.27,False,4,False
