id,timestamp,current_demand,current_demand_max,next_hour_demand_forecast,next_hour_demand_forecast_max,current_reserve,current_reserve_max,peak_demand_forecast,peak_reserve_forecast
0002d25b-ec20-4e88-a26f-b7e4cc204939,2025-07-31 23:49:18.213772+00,2876,3500,2927,3500,457,1000,2979,313
0002f7e1-f8f5-43b0-8b78-665b5fc165d5,2025-05-02 16:52:03.613105+00,1968,3500,1837,3500,850,1000,2356,248
000457a4-6534-4f87-a53e-6341c3c0c529,2025-06-06 20:21:24.728775+00,,,,,,,,
000a1209-9cc0-4105-87d5-974d7646dd9c,2025-12-06 16:41:25.679578+00,1649,3500,1807,3500,1285,1000,2310,566
000c40e2-fbda-4def-8949-76599ff7dc82,2025-11-17 14:24:07.595377+00,1799,3500,1813,3500,962,1000,2700,-36
0010752a-e842-40ea-9739-f9f93a695dac,2025-12-16 03:46:08.472681+00,2247,3500,2233,3500,915,1000,2233,933
0012264e-38d9-433b-95f3-3d28837b64c5,2025-11-12 23:43:19.432958+00,2722,3500,2747,3500,436,1000,2747,392
001444af-c29a-4ace-b558-53e1ade794f8,2025-08-12 19:52:59.229952+00,2570,3500,2517,3500,669,1000,3067,26
0014a3f7-dc3e-4dd4-8c57-bc067612babf,2025-08-13 15:54:30.169923+00,2202,3500,2309,3500,1275,1000,3081,241
00155cda-0007-483f-83a5-8076cc37b97a,2025-04-26 10:48:01.318719+00,1910,3500,1844,3500,780,1000,2300,371
00170051-f2a3-49e2-917d-023a05dd29c5,2025-09-04 19:38:13.091064+00,2444,3500,2395,3500,1065,1000,2995,319
001739a6-73b3-4ed1-9b7c-4498d86645ff,2025-04-17 07:41:49.941296+00,804,3500,1848,3500,552,1000,2449,-424
00183775-fff2-40ed-af06-8e3155c9d9c2,2026-01-06 06:58:49.930183+00,1805,3500,1650,3500,1391,1000,2137,1281
001e9f2d-d4a8-4698-80a5-1d9b5a78aa66,2025-09-02 04:39:19.796119+00,2459,3500,2576,3500,916,1000,3067,296
00200f54-8393-437a-b49b-8a4f13b9db7b,2025-11-27 08:29:10.127645+00,1907,3500,1933,3500,1229,1000,2241,893
00269256-1df6-4099-bd78-f02379474320,2025-06-24 14:56:05.587024+00,2100,3500,2148,3500,1009,1000,2812,101
00270e9d-eb7b-4036-98e7-0ed8bfc3f521,2025-06-03 15:35:29.007935+00,2112,3500,2196,3500,1307,1000,2961,274
00295aeb-37fc-482e-98be-ccb6131a8e86,2025-09-15 07:46:09.046668+00,2161,3500,2191,3500,1367,1000,2923,594
002ff342-47f1-427b-9e80-f54033f1ae80,2025-05-28 07:45:36.856514+00,2102,3500,2067,3500,1032,1000,2757,369
0033a4ed-c5ad-4346-a1a8-2245d94f82e9,2025-09-09 19:25:37.021077+00,2591,3500,2419,3500,893,1000,2889,505
00351083-d200-4dd4-bc2c-32e9ea81e549,2025-10-20 06:40:34.453176+00,2226,3500,2246,3500,562,1000,2890,-125
003aaaf2-14f9-4917-be8e-03bf1bcac97c,2025-05-16 15:59:38.604657+00,2037,3500,1928,3500,1223,1000,2465,702
003c6e72-f201-455e-bbf8-f96a81ac5179,2025-07-05 11:51:55.785628+00,2012,3500,2078,3500,974,1000,2771,182
003f0a1e-99a9-412e-b6b3-1745c0439db5,2025-06-13 05:15:09.379966+00,2317,3500,2242,3500,748,1000,2737,301
0040e7df-b25e-446c-916f-b731cc125850,2025-04-17 19:46:57.858655+00,1510,3500,1982,3500,25,1000,2449,-975
00422fa7-bad6-4ead-860a-d8c7ec5350f6,2025-05-08 07:41:34.564869+00,1954,3500,1882,3500,1075,1000,2496,496
004235b4-760e-4826-b6c0-68763f1517b7,2025-06-15 02:58:03.984149+00,2352,3500,2555,3500,336,1000,2555,114
0043e895-d4e4-41b3-93fe-6afd45ef9df2,2025-05-16 05:52:11.598803+00,2090,3500,1919,3500,982,1000,2460,586
004d5b99-9840-4003-8e76-11ff536718ec,2025-05-15 17:52:49.347909+00,2034,3500,2004,3500,1070,1000,2598,324
0050a899-ec66-408e-932d-4888d76671b2,2025-12-01 06:23:38.775312+00,1865,3500,1892,3500,1308,1000,2507,663
00510064-8d36-425e-9cde-6f58c070d8ba,2025-05-14 22:53:20.497783+00,2419,3500,2433,3500,702,1000,2573,497
00558ee7-ee40-4c7b-9384-e6aff8b0630d,2025-04-08 05:48:51.099556+00,1966,3500,1988,3500,777,1000,2493,215
0056fecf-7c6d-485c-99f6-64ad0cd7da99,2025-06-23 21:15:54.924969+00,2544,3500,2576,3500,561,1000,2751,244
00598ad2-0db7-4a43-ad61-30ddaadbbd2d,2025-05-08 14:50:13.285378+00,1794,3500,1795,3500,1248,1000,2630,273
005acc3e-d607-4625-835d-9497b775d3f6,2025-06-18 04:35:57.933395+00,2384,3500,2400,3500,29,1000,2817,-438
005ffb8c-2eec-4a9b-9343-5de30708b360,2026-01-15 20:11:59.924499+00,2036,3500,1930,3500,956,1000,2426,426
0061f12c-84e1-4ec5-be40-e8dc2010e217,2025-12-11 11:11:34.160865+00,2055,3500,2043,3500,687,1000,2525,202
0062dd52-5c58-402a-9eef-b729b0cce899,2025-09-16 03:06:58.265645+00,2630,3500,2714,3500,899,1000,2714,806
0063e016-4e4b-4751-9bfc-4cdcd1c04a35,2025-05-24 23:10:55.996592+00,2512,3500,2622,3500,696,1000,2650,497
0070b65b-8919-4ec3-b1fc-93fb9395c69e,2025-06-03 23:49:42.290335+00,2867,3500,2961,3500,414,1000,2961,277
007686f3-c8cd-4c6f-ad6c-0a723ee82010,2025-09-05 03:40:07.771767+00,2642,3500,2595,3500,880,1000,2595,920
00792288-a5fa-42e0-b381-a01a3758abe9,2025-09-05 09:34:34.73223+00,2304,3500,2276,3500,1214,1000,2963,552
007af71d-e088-4d5c-aa2f-7d80df14dcc7,2025-07-06 18:59:43.895136+00,1925,3500,2030,3500,1204,1000,2749,207
007afc69-cf73-4a2d-8c6f-b3d32f9cd60a,2025-07-30 10:19:11.79631+00,2231,3500,2241,3500,1186,1000,2879,527
007dff98-ff34-443b-829f-64a0c002cb25,2025-11-23 19:36:23.791307+00,1974,3500,2064,3500,1163,1000,2478,554
007f6fbb-386b-4967-a8ec-ccd47b309dd3,2025-12-31 03:07:44.109333+00,2087,3500,2146,3500,1026,1000,2146,1321
007f9b5d-550f-4d6d-a6e1-4d53253596e0,2025-10-19 18:44:46.17121+00,1955,3500,2196,3500,999,1000,2690,129
0085051e-186f-4983-9dff-353e6414ccf9,2025-06-28 18:37:48.821822+00,1960,3500,2065,3500,1327,1000,2750,405
008573bb-e707-4b9d-a6e3-3fd54f787b20,2025-06-18 21:51:47.74463+00,2639,3500,2605,3500,230,1000,2817,-54
0086fe01-38d8-4ce4-a9e4-5087df746f69,2025-07-31 04:53:23.592864+00,2476,3500,2488,3500,935,1000,2933,469
0089bd44-cc01-4fb2-9b67-49781f4d9629,2025-11-13 12:51:35.827107+00,2061,3500,2091,3500,1163,1000,2737,416
008b708f-a206-413b-bc7e-43f20ee12f31,2025-11-22 03:10:49.761929+00,2347,3500,2312,3500,782,1000,2312,738
008bf2f7-f0de-43c9-9ae7-44a48c78217f,2025-04-20 21:38:07.03539+00,1938,3500,2055,3500,540,1000,2300,89
008e3fa6-8e1b-44b9-aafa-5d021895b5f4,2025-11-28 10:01:15.869041+00,1870,3500,1826,3500,1531,1000,2420,980
009074d2-79fa-434d-9c7a-577a8e7847a5,2025-06-28 05:33:18.200782+00,2275,3500,2362,3500,920,1000,2750,423
009a7e4c-cbed-4cd3-bc95-f0f6cc3bba63,2025-05-13 07:56:02.453902+00,1937,3500,1963,3500,1151,1000,2578,488
009f258b-8013-4004-8685-354ea691153c,2025-12-07 13:45:49.800776+00,1659,3500,1794,3500,1701,1000,2275,1040
009f35c6-63b6-4432-9342-2ecfa4633b8a,2025-12-27 18:56:31.52094+00,1491,3500,1608,3500,1527,1000,2200,887
00a099be-0e21-4ae6-a683-c98435e6c9ae,2025-07-28 19:29:10.282436+00,2365,3500,2320,3500,1021,1000,2800,466
00a53650-9445-471d-9ed3-92823eace2a3,2025-07-07 14:17:07.325128+00,2124,3500,2140,3500,965,1000,2854,80
00a674c7-e127-40d5-bd8a-82ae388954bd,2025-05-18 21:31:19.993384+00,2098,3500,2056,3500,1232,1000,2350,924
00a7320d-6acd-4f51-aab6-6f909e9d6730,2025-10-23 21:29:49.076579+00,2324,3500,2423,3500,753,1000,2578,467
00aa470d-f6e0-4de2-b072-5adb3f68aa58,2025-08-18 23:41:45.339873+00,2759,3500,2875,3500,176,1000,2875,22
00aad972-4468-4bf7-877e-77baf417ff4e,2025-09-14 03:57:55.05123+00,2336,3500,2559,3500,1191,1000,2559,958
00aaead4-db1f-4c3c-939d-37a1972fa349,2025-10-21 23:25:52.669226+00,2626,3500,2756,3500,552,1000,2756,377
