timestamp_utc,settlementDate,settlementPeriod,price,volume,dataProvider
2024-11-08 00:00:00+00:00,2024-11-08,1,81.06,1168.75,APXMIDP
2024-11-08 00:30:00+00:00,2024-11-08,2,85.91,1223.75,APXMIDP
2024-11-08 01:00:00+00:00,2024-11-08,3,83.79,1553.15,APXMIDP
2024-11-08 01:30:00+00:00,2024-11-08,4,82.48,1299.3,APXMIDP
2024-11-08 02:00:00+00:00,2024-11-08,5,84.04,1449.35,APXMIDP
2024-11-08 02:30:00+00:00,2024-11-08,6,82.58,1853.3,APXMIDP
2024-11-08 03:00:00+00:00,2024-11-08,7,90.55,1330.95,APXMIDP
2024-11-08 03:30:00+00:00,2024-11-08,8,92.0,1487.75,APXMIDP
2024-11-08 04:00:00+00:00,2024-11-08,9,89.21,1344.4,APXMIDP
2024-11-08 04:30:00+00:00,2024-11-08,10,86.14,1352.0,APXMIDP
2024-11-08 05:00:00+00:00,2024-11-08,11,100.44,1693.05,APXMIDP
2024-11-08 05:30:00+00:00,2024-11-08,12,94.24,2005.05,APXMIDP
2024-11-08 06:00:00+00:00,2024-11-08,13,105.8,1784.0,APXMIDP
2024-11-08 06:30:00+00:00,2024-11-08,14,101.7,1973.75,APXMIDP
2024-11-08 07:00:00+00:00,2024-11-08,15,113.71,2577.0,APXMIDP
2024-11-08 07:30:00+00:00,2024-11-08,16,117.95,3055.2,APXMIDP
2024-11-08 08:00:00+00:00,2024-11-08,17,114.9,2820.25,APXMIDP
2024-11-08 08:30:00+00:00,2024-11-08,18,116.6,3140.4,APXMIDP
2024-11-08 09:00:00+00:00,2024-11-08,19,113.74,3274.2,APXMIDP
2024-11-08 09:30:00+00:00,2024-11-08,20,116.45,3406.25,APXMIDP
2024-11-08 10:00:00+00:00,2024-11-08,21,117.98,3432.6,APXMIDP
2024-11-08 10:30:00+00:00,2024-11-08,22,119.83,3202.4,APXMIDP
2024-11-08 11:00:00+00:00,2024-11-08,23,125.83,3476.25,APXMIDP
2024-11-08 11:30:00+00:00,2024-11-08,24,126.48,3436.1,APXMIDP
2024-11-08 12:00:00+00:00,2024-11-08,25,128.54,3511.4,APXMIDP
2024-11-08 12:30:00+00:00,2024-11-08,26,124.12,3908.2,APXMIDP
2024-11-08 13:00:00+00:00,2024-11-08,27,126.14,4016.0,APXMIDP
2024-11-08 13:30:00+00:00,2024-11-08,28,140.77,4958.8,APXMIDP
2024-11-08 14:00:00+00:00,2024-11-08,29,143.23,5335.05,APXMIDP
2024-11-08 14:30:00+00:00,2024-11-08,30,135.72,5819.65,APXMIDP
2024-11-08 15:00:00+00:00,2024-11-08,31,134.6,4024.15,APXMIDP
2024-11-08 15:30:00+00:00,2024-11-08,32,130.85,3751.4,APXMIDP
2024-11-08 16:00:00+00:00,2024-11-08,33,130.88,4002.2,APXMIDP
2024-11-08 16:30:00+00:00,2024-11-08,34,135.24,4062.6,APXMIDP
2024-11-08 17:00:00+00:00,2024-11-08,35,130.66,4088.35,APXMIDP
2024-11-08 17:30:00+00:00,2024-11-08,36,132.4,3891.05,APXMIDP
2024-11-08 18:00:00+00:00,2024-11-08,37,128.6,3667.5,APXMIDP
2024-11-08 18:30:00+00:00,2024-11-08,38,126.66,3408.1,APXMIDP
2024-11-08 19:00:00+00:00,2024-11-08,39,104.0,2542.75,APXMIDP
2024-11-08 19:30:00+00:00,2024-11-08,40,100.95,2333.1,APXMIDP
2024-11-08 20:00:00+00:00,2024-11-08,41,102.54,2172.15,APXMIDP
2024-11-08 20:30:00+00:00,2024-11-08,42,99.25,2242.9,APXMIDP
2024-11-08 21:00:00+00:00,2024-11-08,43,101.18,1719.7,APXMIDP
2024-11-08 21:30:00+00:00,2024-11-08,44,93.56,1579.35,APXMIDP
2024-11-08 22:00:00+00:00,2024-11-08,45,91.5,1486.95,APXMIDP
2024-11-08 22:30:00+00:00,2024-11-08,46,88.62,1546.15,APXMIDP
2024-11-08 23:00:00+00:00,2024-11-08,47,86.44,903.7,APXMIDP
2024-11-08 23:30:00+00:00,2024-11-08,48,78.39,960.25,APXMIDP
2024-11-09 00:00:00+00:00,2024-11-09,1,80.53,762.4,APXMIDP
2024-11-09 00:30:00+00:00,2024-11-09,2,82.04,1027.3,APXMIDP
2024-11-09 01:00:00+00:00,2024-11-09,3,84.05,993.6,APXMIDP
2024-11-09 01:30:00+00:00,2024-11-09,4,83.11,980.85,APXMIDP
2024-11-09 02:00:00+00:00,2024-11-09,5,81.22,712.6,APXMIDP
2024-11-09 02:30:00+00:00,2024-11-09,6,82.19,761.3,APXMIDP
2024-11-09 03:00:00+00:00,2024-11-09,7,81.74,680.85,APXMIDP
2024-11-09 03:30:00+00:00,2024-11-09,8,79.95,789.6,APXMIDP
2024-11-09 04:00:00+00:00,2024-11-09,9,83.46,1211.5,APXMIDP
2024-11-09 04:30:00+00:00,2024-11-09,10,86.64,1045.95,APXMIDP
2024-11-09 05:00:00+00:00,2024-11-09,11,92.99,1295.1,APXMIDP
2024-11-09 05:30:00+00:00,2024-11-09,12,88.1,1167.4,APXMIDP
2024-11-09 06:00:00+00:00,2024-11-09,13,77.52,1428.95,APXMIDP
2024-11-09 06:30:00+00:00,2024-11-09,14,92.04,1550.85,APXMIDP
2024-11-09 07:00:00+00:00,2024-11-09,15,87.35,1650.4,APXMIDP
2024-11-09 07:30:00+00:00,2024-11-09,16,93.03,2018.65,APXMIDP
2024-11-09 08:00:00+00:00,2024-11-09,17,93.68,1659.25,APXMIDP
2024-11-09 08:30:00+00:00,2024-11-09,18,93.12,2013.5,APXMIDP
2024-11-09 09:00:00+00:00,2024-11-09,19,94.34,1982.75,APXMIDP
2024-11-09 09:30:00+00:00,2024-11-09,20,92.94,1666.45,APXMIDP
2024-11-09 10:00:00+00:00,2024-11-09,21,99.81,2564.6,APXMIDP
2024-11-09 10:30:00+00:00,2024-11-09,22,102.72,2363.15,APXMIDP
2024-11-09 11:00:00+00:00,2024-11-09,23,92.24,2044.2,APXMIDP
2024-11-09 11:30:00+00:00,2024-11-09,24,100.22,2145.9,APXMIDP
2024-11-09 12:00:00+00:00,2024-11-09,25,103.43,1945.55,APXMIDP
2024-11-09 12:30:00+00:00,2024-11-09,26,100.2,2110.7,APXMIDP
