timestamp_utc,datetime_beginning_ept,pnode_id,pnode_name,voltage,equipment,type,zone,system_energy_price_da,total_lmp_da,congestion_price_da,marginal_loss_price_da,row_is_current,version_nbr
2020-01-01 00:00:00+00:00,2019-12-31T19:00:00,34964545,DOM,,,ZONE,,25.24,27.081602,1.930654,-0.089052,True,1
2020-01-01 01:00:00+00:00,2019-12-31T20:00:00,34964545,DOM,,,ZONE,,23.2,24.517078,1.44922,-0.132142,True,1
2020-01-01 02:00:00+00:00,2019-12-31T21:00:00,34964545,DOM,,,ZONE,,21.33,22.690138,1.503422,-0.143284,True,1
2020-01-01 03:00:00+00:00,2019-12-31T22:00:00,34964545,DOM,,,ZONE,,19.23,19.851234,0.77918,-0.157946,True,1
2020-01-01 04:00:00+00:00,2019-12-31T23:00:00,34964545,DOM,,,ZONE,,18.66,19.116165,0.491042,-0.034877,True,1
2020-01-01 05:00:00+00:00,2020-01-01T00:00:00,34964545,DOM,,,ZONE,,18.11,18.018117,0.06,-0.151883,True,1
2020-01-01 06:00:00+00:00,2020-01-01T01:00:00,34964545,DOM,,,ZONE,,17.63,17.571946,0.061607,-0.119661,True,1
2020-01-01 07:00:00+00:00,2020-01-01T02:00:00,34964545,DOM,,,ZONE,,17.34,17.331271,0.063758,-0.072487,True,1
2020-01-01 08:00:00+00:00,2020-01-01T03:00:00,34964545,DOM,,,ZONE,,17.29,17.354593,0.060058,0.004535,True,1
2020-01-01 09:00:00+00:00,2020-01-01T04:00:00,34964545,DOM,,,ZONE,,17.39,17.360776,0.07,-0.099224,True,1
2020-01-01 10:00:00+00:00,2020-01-01T05:00:00,34964545,DOM,,,ZONE,,17.63,17.74789,0.145928,-0.028038,True,1
2020-01-01 11:00:00+00:00,2020-01-01T06:00:00,34964545,DOM,,,ZONE,,18.2,18.382801,0.273989,-0.091188,True,1
2020-01-01 12:00:00+00:00,2020-01-01T07:00:00,34964545,DOM,,,ZONE,,18.81,19.317036,0.569407,-0.062371,True,1
2020-01-01 13:00:00+00:00,2020-01-01T08:00:00,34964545,DOM,,,ZONE,,18.76,19.242687,0.606561,-0.123874,True,1
2020-01-01 14:00:00+00:00,2020-01-01T09:00:00,34964545,DOM,,,ZONE,,18.87,19.085245,0.366246,-0.151001,True,1
2020-01-01 15:00:00+00:00,2020-01-01T10:00:00,34964545,DOM,,,ZONE,,18.87,18.82858,0.138229,-0.179649,True,1
2020-01-01 16:00:00+00:00,2020-01-01T11:00:00,34964545,DOM,,,ZONE,,18.45,18.346636,0.071476,-0.17484,True,1
2020-01-01 17:00:00+00:00,2020-01-01T12:00:00,34964545,DOM,,,ZONE,,18.04,17.940426,0.061802,-0.161376,True,1
2020-01-01 18:00:00+00:00,2020-01-01T13:00:00,34964545,DOM,,,ZONE,,17.79,17.654462,0.060058,-0.195596,True,1
2020-01-01 19:00:00+00:00,2020-01-01T14:00:00,34964545,DOM,,,ZONE,,17.64,17.492522,0.060216,-0.207694,True,1
2020-01-01 20:00:00+00:00,2020-01-01T15:00:00,34964545,DOM,,,ZONE,,17.73,17.646975,0.076325,-0.15935,True,1
2020-01-01 21:00:00+00:00,2020-01-01T16:00:00,34964545,DOM,,,ZONE,,19.08,19.04199,0.066487,-0.104497,True,1
2020-01-01 22:00:00+00:00,2020-01-01T17:00:00,34964545,DOM,,,ZONE,,22.68,22.568315,0.111429,-0.223114,True,1
2020-01-01 23:00:00+00:00,2020-01-01T18:00:00,34964545,DOM,,,ZONE,,22.31,22.232097,0.100213,-0.178116,True,1
2020-01-02 00:00:00+00:00,2020-01-01T19:00:00,34964545,DOM,,,ZONE,,22.04,22.057495,0.091476,-0.073981,True,1
2020-01-02 01:00:00+00:00,2020-01-01T20:00:00,34964545,DOM,,,ZONE,,20.73,20.735618,0.069986,-0.064368,True,1
2020-01-02 02:00:00+00:00,2020-01-01T21:00:00,34964545,DOM,,,ZONE,,19.23,19.202744,0.04,-0.067256,True,1
2020-01-02 03:00:00+00:00,2020-01-01T22:00:00,34964545,DOM,,,ZONE,,18.45,18.430442,0.04,-0.059558,True,1
2020-01-02 04:00:00+00:00,2020-01-01T23:00:00,34964545,DOM,,,ZONE,,18.03,18.107863,0.04,0.037863,True,1
2020-01-02 05:00:00+00:00,2020-01-02T00:00:00,34964545,DOM,,,ZONE,,18.05,18.19135,0.08,0.06135,True,1
2020-01-02 06:00:00+00:00,2020-01-02T01:00:00,34964545,DOM,,,ZONE,,18.18,18.26971,0.08,0.00971,True,1
2020-01-02 07:00:00+00:00,2020-01-02T02:00:00,34964545,DOM,,,ZONE,,18.12,18.225626,0.08,0.025626,True,1
2020-01-02 08:00:00+00:00,2020-01-02T03:00:00,34964545,DOM,,,ZONE,,18.3,18.414428,0.080058,0.03437,True,1
2020-01-02 09:00:00+00:00,2020-01-02T04:00:00,34964545,DOM,,,ZONE,,18.58,18.714983,0.09,0.044983,True,1
2020-01-02 10:00:00+00:00,2020-01-02T05:00:00,34964545,DOM,,,ZONE,,20.1,20.754048,0.556693,0.097355,True,1
2020-01-02 11:00:00+00:00,2020-01-02T06:00:00,34964545,DOM,,,ZONE,,29.45,30.725807,1.143395,0.132412,True,1
2020-01-02 12:00:00+00:00,2020-01-02T07:00:00,34964545,DOM,,,ZONE,,35.85,37.222813,1.092827,0.279986,True,1
2020-01-02 13:00:00+00:00,2020-01-02T08:00:00,34964545,DOM,,,ZONE,,28.39,29.173617,0.618391,0.165226,True,1
2020-01-02 14:00:00+00:00,2020-01-02T09:00:00,34964545,DOM,,,ZONE,,25.88,26.45014,0.495807,0.074333,True,1
2020-01-02 15:00:00+00:00,2020-01-02T10:00:00,34964545,DOM,,,ZONE,,23.65,23.909081,0.281932,-0.022851,True,1
2020-01-02 16:00:00+00:00,2020-01-02T11:00:00,34964545,DOM,,,ZONE,,21.59,21.947193,0.401123,-0.04393,True,1
2020-01-02 17:00:00+00:00,2020-01-02T12:00:00,34964545,DOM,,,ZONE,,20.62,20.917777,0.319944,-0.022167,True,1
2020-01-02 18:00:00+00:00,2020-01-02T13:00:00,34964545,DOM,,,ZONE,,20.53,20.766889,0.252386,-0.015497,True,1
2020-01-02 19:00:00+00:00,2020-01-02T14:00:00,34964545,DOM,,,ZONE,,20.29,20.494729,0.1925,0.012229,True,1
2020-01-02 20:00:00+00:00,2020-01-02T15:00:00,34964545,DOM,,,ZONE,,20.69,20.836597,0.153597,-0.007,True,1
2020-01-02 21:00:00+00:00,2020-01-02T16:00:00,34964545,DOM,,,ZONE,,23.08,23.257004,0.143349,0.033655,True,1
2020-01-02 22:00:00+00:00,2020-01-02T17:00:00,34964545,DOM,,,ZONE,,29.95,30.126318,0.181621,-0.005303,True,1
2020-01-02 23:00:00+00:00,2020-01-02T18:00:00,34964545,DOM,,,ZONE,,31.11,31.630313,0.457119,0.063194,True,1
2020-01-03 00:00:00+00:00,2020-01-02T19:00:00,34964545,DOM,,,ZONE,,28.29,29.460153,0.954296,0.215857,True,1
2020-01-03 01:00:00+00:00,2020-01-02T20:00:00,34964545,DOM,,,ZONE,,24.86,25.650473,0.553672,0.236801,True,1
2020-01-03 02:00:00+00:00,2020-01-02T21:00:00,34964545,DOM,,,ZONE,,22.32,22.583611,0.041304,0.222307,True,1
2020-01-03 03:00:00+00:00,2020-01-02T22:00:00,34964545,DOM,,,ZONE,,20.06,20.34754,0.156843,0.130697,True,1
2020-01-03 04:00:00+00:00,2020-01-02T23:00:00,34964545,DOM,,,ZONE,,18.86,19.013766,0.05,0.103766,True,1
2020-01-03 05:00:00+00:00,2020-01-03T00:00:00,34964545,DOM,,,ZONE,,17.27,17.538001,0.05,0.218001,True,1
2020-01-03 06:00:00+00:00,2020-01-03T01:00:00,34964545,DOM,,,ZONE,,17.05,17.368174,0.123744,0.19443,True,1
2020-01-03 07:00:00+00:00,2020-01-03T02:00:00,34964545,DOM,,,ZONE,,17.08,17.44068,0.146198,0.214482,True,1
2020-01-03 08:00:00+00:00,2020-01-03T03:00:00,34964545,DOM,,,ZONE,,17.26,17.703266,0.163216,0.28005,True,1
2020-01-03 09:00:00+00:00,2020-01-03T04:00:00,34964545,DOM,,,ZONE,,17.46,17.908445,0.173012,0.275433,True,1
2020-01-03 10:00:00+00:00,2020-01-03T05:00:00,34964545,DOM,,,ZONE,,18.23,18.853425,0.337768,0.285657,True,1
