Valid_From_UTC, Valid_To_UTC, Valid_From_Local, Valid_To_Local, Price_Inc_VAT,Price_Ex_VAT
3/19/24 0:00,3/19/24 0:30,3/19/24 0:00,3/19/24 0:30,10.19,9.7
3/19/24 0:30,3/19/24 1:00,3/19/24 0:30,3/19/24 1:00,11.26,10.72
3/19/24 1:00,3/19/24 1:30,3/19/24 1:00,3/19/24 1:30,10.9,10.38
3/19/24 1:30,3/19/24 2:00,3/19/24 1:30,3/19/24 2:00,9.18,8.74
3/19/24 2:00,3/19/24 2:30,3/19/24 2:00,3/19/24 2:30,9.81,9.34
3/19/24 2:30,3/19/24 3:00,3/19/24 2:30,3/19/24 3:00,9.66,9.2
3/19/24 3:00,3/19/24 3:30,3/19/24 3:00,3/19/24 3:30,9.47,9.02
3/19/24 3:30,3/19/24 4:00,3/19/24 3:30,3/19/24 4:00,9.45,9
3/19/24 4:00,3/19/24 4:30,3/19/24 4:00,3/19/24 4:30,9.64,9.18
3/19/24 4:30,3/19/24 5:00,3/19/24 4:30,3/19/24 5:00,8.93,8.5
3/19/24 5:00,3/19/24 5:30,3/19/24 5:00,3/19/24 5:30,10.92,10.4
3/19/24 5:30,3/19/24 6:00,3/19/24 5:30,3/19/24 6:00,13.63,12.98
3/19/24 6:00,3/19/24 6:30,3/19/24 6:00,3/19/24 6:30,15.12,14.4
3/19/24 6:30,3/19/24 7:00,3/19/24 6:30,3/19/24 7:00,18.44,17.56
3/19/24 7:00,3/19/24 7:30,3/19/24 7:00,3/19/24 7:30,13.99,13.32
3/19/24 7:30,3/19/24 8:00,3/19/24 7:30,3/19/24 8:00,17.58,16.74
3/19/24 8:00,3/19/24 8:30,3/19/24 8:00,3/19/24 8:30,13.44,12.8
3/19/24 8:30,3/19/24 9:00,3/19/24 8:30,3/19/24 9:00,14.28,13.6
3/19/24 9:00,3/19/24 9:30,3/19/24 9:00,3/19/24 9:30,13.86,13.2
3/19/24 9:30,3/19/24 10:00,3/19/24 9:30,3/19/24 10:00,13.86,13.2
3/19/24 10:00,3/19/24 10:30,3/19/24 10:00,3/19/24 10:30,12.9,12.29
3/19/24 10:30,3/19/24 11:00,3/19/24 10:30,3/19/24 11:00,12.98,12.36
3/19/24 11:00,3/19/24 11:30,3/19/24 11:00,3/19/24 11:30,13.23,12.6
3/19/24 11:30,3/19/24 12:00,3/19/24 11:30,3/19/24 12:00,13.23,12.6
3/19/24 12:00,3/19/24 12:30,3/19/24 12:00,3/19/24 12:30,14.34,13.66
3/19/24 12:30,3/19/24 13:00,3/19/24 12:30,3/19/24 13:00,14.28,13.6
3/19/24 13:00,3/19/24 13:30,3/19/24 13:00,3/19/24 13:30,15.96,15.2
3/19/24 13:30,3/19/24 14:00,3/19/24 13:30,3/19/24 14:00,13.86,13.2
3/19/24 14:00,3/19/24 14:30,3/19/24 14:00,3/19/24 14:30,14.28,13.6
3/19/24 14:30,3/19/24 15:00,3/19/24 14:30,3/19/24 15:00,13.73,13.08
3/19/24 15:00,3/19/24 15:30,3/19/24 15:00,3/19/24 15:30,13.86,13.2
3/19/24 15:30,3/19/24 16:00,3/19/24 15:30,3/19/24 16:00,14.07,13.4
3/19/24 16:00,3/19/24 16:30,3/19/24 16:00,3/19/24 16:30,29.19,27.8
3/19/24 16:30,3/19/24 17:00,3/19/24 16:30,3/19/24 17:00,29.27,27.88
