Date,Daily average,7-day average
01 Jan 2020,3.951,3.721
02 Jan 2020,1.771,3.486
03 Jan 2020,2.135,3.113
04 Jan 2020,2.700,2.989
05 Jan 2020,2.758,2.853
06 Jan 2020,3.472,2.945
07 Jan 2020,2.875,2.809
08 Jan 2020,3.054,2.681
09 Jan 2020,3.061,2.865
10 Jan 2020,4.486,3.201
11 Jan 2020,3.267,3.282
12 Jan 2020,3.558,3.396
13 Jan 2020,3.689,3.427
14 Jan 2020,4.950,3.724
15 Jan 2020,3.006,3.717
16 Jan 2020,3.921,3.840
17 Jan 2020,3.108,3.643
18 Jan 2020,3.824,3.722
19 Jan 2020,4.138,3.805
20 Jan 2020,2.833,3.683
21 Jan 2020,5.205,3.719
22 Jan 2020,5.773,4.115
23 Jan 2020,3.743,4.089
24 Jan 2020,3.591,4.158
25 Jan 2020,3.576,4.123
26 Jan 2020,3.513,4.033
27 Jan 2020,3.648,4.150
28 Jan 2020,3.778,3.946
29 Jan 2020,3.409,3.608
30 Jan 2020,2.490,3.429
31 Jan 2020,3.256,3.381
01 Feb 2020,3.308,3.343
02 Feb 2020,3.749,3.377
03 Feb 2020,2.572,3.223
04 Feb 2020,3.458,3.177
05 Feb 2020,1.723,2.937
06 Feb 2020,3.714,3.111
07 Feb 2020,3.153,3.097
08 Feb 2020,3.010,3.054
09 Feb 2020,3.429,3.008
10 Feb 2020,4.021,3.215
11 Feb 2020,3.382,3.205
12 Feb 2020,2.390,3.300
13 Feb 2020,3.688,3.296
14 Feb 2020,3.870,3.399
15 Feb 2020,3.151,3.419
16 Feb 2020,3.114,3.374
17 Feb 2020,3.210,3.258
18 Feb 2020,2.832,3.179
19 Feb 2020,2.854,3.246
20 Feb 2020,2.577,3.087
21 Feb 2020,3.314,3.007
22 Feb 2020,4.112,3.145
23 Feb 2020,3.213,3.159
24 Feb 2020,4.137,3.291
25 Feb 2020,4.795,3.572
26 Feb 2020,3.360,3.644
27 Feb 2020,3.236,3.738
28 Feb 2020,2.586,3.634
29 Feb 2020,2.365,3.385
01 Mar 2020,1.917,3.199
02 Mar 2020,3.630,3.127
03 Mar 2020,4.053,3.021
04 Mar 2020,12.289,4.297
05 Mar 2020,2.632,4.210
06 Mar 2020,3.941,4.404
07 Mar 2020,1.619,4.297
08 Mar 2020,2.151,4.331
09 Mar 2020,2.990,4.239
10 Mar 2020,2.753,4.054
11 Mar 2020,3.428,2.788
12 Mar 2020,3.238,2.874
13 Mar 2020,2.738,2.702
14 Mar 2020,2.380,2.811
15 Mar 2020,3.436,2.995
16 Mar 2020,2.096,2.867
17 Mar 2020,2.716,2.862
18 Mar 2020,3.599,2.886
19 Mar 2020,3.476,2.920
20 Mar 2020,2.155,2.837
21 Mar 2020,2.169,2.807
22 Mar 2020,2.232,2.635
23 Mar 2020,1.925,2.610
24 Mar 2020,1.173,2.390
25 Mar 2020,1.427,2.080
26 Mar 2020,2.317,1.914
27 Mar 2020,2.242,1.926
28 Mar 2020,1.628,1.849
29 Mar 2020,2.729,1.920
30 Mar 2020,3.013,2.076
31 Mar 2020,3.013,2.338
01 Apr 2020,3.610,2.650
02 Apr 2020,2.807,2.720
03 Apr 2020,2.634,2.776
04 Apr 2020,2.905,2.959
05 Apr 2020,1.627,2.801
06 Apr 2020,1.427,2.575
07 Apr 2020,2.541,2.507
08 Apr 2020,1.930,2.267
09 Apr 2020,3.241,2.329
10 Apr 2020,3.707,2.483
11 Apr 2020,1.858,2.333
12 Apr 2020,3.326,2.576
13 Apr 2020,0.324,2.418
14 Apr 2020,1.149,2.219
15 Apr 2020,2.063,2.238
16 Apr 2020,2.936,2.195
17 Apr 2020,2.688,2.049
18 Apr 2020,2.872,2.194
19 Apr 2020,2.198,2.033
20 Apr 2020,0.172,2.011
