time,temp,rhum,prcp,snwd,wdir,wspd,wpgt,pres,tsun,cldc,coco
2019-01-01 00:00:00,10.0,71,,,10,5.4,13.0,1030.0,,,1
2019-01-01 01:00:00,8.0,81,,,360,3.6,13.0,1030.0,,,1
2019-01-01 02:00:00,8.0,81,,,350,5.4,13.0,1030.0,,,1
2019-01-01 03:00:00,7.0,87,,,340,3.6,13.0,1031.0,,,1
2019-01-01 04:00:00,6.0,87,,,350,1.8,13.0,1030.0,,,1
2019-01-01 05:00:00,6.0,87,,,57,1.8,14.8,1030.0,,,1
2019-01-01 06:00:00,6.0,87,,,350,5.4,13.0,1030.0,,,1
2019-01-01 07:00:00,5.0,93,,,0,0.0,14.8,1031.0,,,1
2019-01-01 08:00:00,4.0,100,,,360,5.4,16.7,1031.0,,,1
2019-01-01 09:00:00,7.0,93,,,65,3.6,14.8,1032.0,,,1
2019-01-01 10:00:00,9.0,82,,,65,3.6,14.8,1032.0,,,1
2019-01-01 11:00:00,10.0,71,,,60,11.2,14.8,1032.0,,,1
2019-01-01 12:00:00,11.0,71,,,80,7.6,16.7,1032.0,,,1
2019-01-01 13:00:00,13.0,62,,,60,9.4,16.7,1031.0,,,1
2019-01-01 14:00:00,15.0,59,,,60,5.4,14.8,1031.0,,,1
2019-01-01 15:00:00,15.0,59,,,60,7.6,13.0,1031.0,,,1
2019-01-01 16:00:00,16.0,55,,,38,3.6,13.0,1031.0,,,1
2019-01-01 17:00:00,15.0,51,,,50,7.6,11.1,1031.0,,,1
2019-01-01 18:00:00,10.0,76,,,323,3.6,9.3,1031.0,,,1
2019-01-01 19:00:00,13.0,72,,,320,11.2,11.1,1032.0,,,1
2019-01-01 20:00:00,12.0,72,,,320,11.2,13.0,1032.0,,,1
2019-01-01 21:00:00,12.0,72,,,310,13.0,13.0,1032.0,,,1
2019-01-01 22:00:00,12.0,67,,,320,13.0,13.0,1032.0,,,1
2019-01-01 23:00:00,11.0,62,,,320,13.0,13.0,1032.0,,,1
2019-01-02 00:00:00,11.0,62,,,320,13.0,13.0,1032.0,,,1
2019-01-02 01:00:00,11.0,62,,,310,14.8,13.0,1032.0,,,1
2019-01-02 02:00:00,11.0,62,,,310,16.6,13.0,1031.0,,,1
2019-01-02 03:00:00,10.0,76,,,320,11.2,13.0,1032.0,,,1
2019-01-02 04:00:00,10.0,87,,,340,13.0,13.0,1031.0,,,1
2019-01-02 05:00:00,10.0,94,,,310,13.0,13.0,1030.0,,,1
2019-01-02 06:00:00,11.0,82,,,320,14.8,13.0,1030.0,,,1
2019-01-02 07:00:00,9.0,87,,,350,9.4,13.0,1030.0,,,1
2019-01-02 08:00:00,9.0,87,,,20,5.4,13.0,1030.0,,,1
2019-01-02 09:00:00,8.0,93,,,70,7.6,13.0,1031.0,,0,0
2019-01-02 10:00:00,9.0,94,,,50,7.6,14.8,1031.0,,0,0
2019-01-02 11:00:00,11.0,82,,,360,9.4,16.7,1031.0,,,1
2019-01-02 12:00:00,13.0,77,,,330,11.2,18.5,1029.0,,,2
2019-01-02 13:00:00,15.0,72,,,320,11.2,20.4,1029.0,,,2
2019-01-02 14:00:00,14.0,77,,,340,20.5,20.4,1028.0,,,1
2019-01-02 15:00:00,14.0,72,,,330,14.8,20.4,1028.0,,,2
2019-01-02 16:00:00,14.0,72,,,330,16.6,20.4,1028.0,,,2
2019-01-02 17:00:00,13.0,77,,,330,11.2,18.5,1028.0,,,1
2019-01-02 18:00:00,11.0,88,,,330,7.6,20.4,1028.0,,,2
2019-01-02 19:00:00,11.0,88,,,330,13.0,20.4,1028.0,,,1
2019-01-02 20:00:00,11.0,88,,,330,18.4,20.4,1027.0,,,1
2019-01-02 21:00:00,10.0,94,,,340,18.4,18.5,1027.0,,,1
2019-01-02 22:00:00,10.0,94,,,330,18.4,16.7,1027.0,,,1
2019-01-02 23:00:00,10.0,94,,,320,13.0,14.8,1027.0,,,1
