time,temp,rhum,prcp,snwd,wdir,wspd,wpgt,pres,tsun,cldc,coco
2024-01-01 00:00:00,3.9,64,0.0,,0,0.0,,1016.8,,4,1
2024-01-01 01:00:00,1.1,75,0.0,,0,0.0,,1016.7,,0,2
2024-01-01 02:00:00,2.8,70,0.0,,0,0.0,,1016.9,,4,3
2024-01-01 03:00:00,1.1,79,0.0,,0,0.0,,1017.1,,4,3
2024-01-01 04:00:00,1.7,82,0.0,,0,0.0,,1017.0,,7,3
2024-01-01 05:00:00,3.3,73,0.0,,0,0.0,,1016.8,,8,4
2024-01-01 06:00:00,4.4,73,0.0,,210,7.6,,1016.3,,8,4
2024-01-01 07:00:00,2.8,78,0.0,,0,0.0,,1016.1,,7,4
2024-01-01 08:00:00,2.2,85,0.0,,0,0.0,,1015.9,,7,4
2024-01-01 09:00:00,2.2,85,0.0,,0,0.0,,1015.5,,8,4
2024-01-01 10:00:00,2.8,85,0.0,,0,0.0,,1015.2,,8,4
2024-01-01 11:00:00,2.8,89,0.0,,0,0.0,,1015.6,,8,4
2024-01-01 12:00:00,2.2,89,0.0,,0,0.0,,1015.9,,6,4
2024-01-01 13:00:00,1.7,92,0.0,,0,0.0,,1016.1,,6,4
2024-01-01 14:00:00,3.3,86,0.0,,0,0.0,,1016.5,,6,4
2024-01-01 15:00:00,5.6,73,0.0,,30,5.4,,1016.9,,8,4
2024-01-01 16:00:00,7.2,65,0.0,,340,9.4,,1016.7,,7,3
2024-01-01 17:00:00,7.8,63,0.0,,350,9.4,,1016.2,,7,4
2024-01-01 18:00:00,8.3,60,0.0,,10,9.4,,1015.7,,8,4
2024-01-01 19:00:00,8.9,61,0.0,,30,13.0,,1015.5,,7,4
2024-01-01 20:00:00,8.3,63,0.0,,350,11.2,,1015.6,,7,4
2024-01-01 21:00:00,7.8,65,0.0,,30,9.4,,1016.1,,8,4
2024-01-01 22:00:00,6.7,73,0.0,,360,13.0,,1016.5,,8,4
2024-01-01 23:00:00,6.1,73,0.0,,350,11.2,,1016.9,,8,4
2024-01-02 00:00:00,5.6,76,0.0,,330,7.6,,1017.4,,8,4
2024-01-02 01:00:00,5.6,76,0.0,,360,5.4,,1017.7,,7,4
2024-01-02 02:00:00,5.0,82,,,340,5.4,,1017.8,,7,4
2024-01-02 03:00:00,4.4,83,0.3,,340,11.2,,1018.0,,8,4
2024-01-02 04:00:00,4.4,76,0.0,,350,14.8,,1018.1,,7,4
2024-01-02 05:00:00,3.9,70,0.0,,350,20.5,,1018.1,,7,4
2024-01-02 06:00:00,2.8,70,0.0,,350,18.4,,1018.0,,6,4
2024-01-02 07:00:00,2.2,70,0.0,,360,16.6,,1018.3,,6,4
2024-01-02 08:00:00,0.6,75,0.0,,340,11.2,,1018.6,,0,4
2024-01-02 09:00:00,-0.6,78,0.0,,340,11.2,,1018.6,,0,3
2024-01-02 10:00:00,-1.7,85,0.0,,330,11.2,,1018.8,,0,4
2024-01-02 11:00:00,-1.1,78,0.0,,340,14.8,,1019.4,,0,2
2024-01-02 12:00:00,-2.2,81,0.0,,340,14.8,,1019.9,,0,1
2024-01-02 13:00:00,-1.7,78,0.0,,340,11.2,,1020.5,,0,1
2024-01-02 14:00:00,0.0,66,0.0,,350,22.3,,1020.9,,0,2
2024-01-02 15:00:00,1.7,61,0.0,,330,16.6,,1021.3,,0,2
2024-01-02 16:00:00,2.2,59,0.0,,340,18.4,,1020.3,,0,1
2024-01-02 17:00:00,3.9,55,0.0,,320,22.3,,1019.0,,0,1
2024-01-02 18:00:00,5.0,51,0.0,,330,20.5,,1017.6,,0,1
2024-01-02 19:00:00,6.1,49,0.0,,320,24.1,,1016.8,,0,1
2024-01-02 20:00:00,6.7,45,0.0,,300,18.4,,1016.9,,0,2
2024-01-02 21:00:00,6.1,47,0.0,,310,16.6,,1016.7,,0,2
2024-01-02 22:00:00,3.9,55,0.0,,290,7.6,,1017.4,,0,1
2024-01-02 23:00:00,2.8,61,0.0,,260,7.6,,1017.8,,0,1
2024-01-03 00:00:00,2.2,62,0.0,,240,7.6,,1018.0,,0,1
2024-01-03 01:00:00,-0.6,72,0.0,,270,5.4,,1018.0,,0,1
2024-01-03 02:00:00,1.1,67,0.0,,270,13.0,,1018.0,,0,1
2024-01-03 03:00:00,0.6,69,0.0,,270,7.6,,1017.9,,0,1
2024-01-03 04:00:00,0.0,72,0.0,,270,7.6,,1017.9,,0,1
2024-01-03 05:00:00,-0.6,76,0.0,,250,9.4,,1017.7,,0,1
2024-01-03 06:00:00,0.0,72,0.0,,270,11.2,,1017.5,,0,1
2024-01-03 07:00:00,-0.6,76,0.0,,270,9.4,,1017.7,,0,1
2024-01-03 08:00:00,-1.1,78,0.0,,280,11.2,,1017.5,,0,1
2024-01-03 09:00:00,-1.1,78,0.0,,280,11.2,,1017.4,,0,1
2024-01-03 10:00:00,-1.7,78,0.0,,270,11.2,,1017.6,,0,4
2024-01-03 11:00:00,-1.7,82,0.0,,270,9.4,,1017.9,,0,1
2024-01-03 12:00:00,-1.7,82,0.0,,270,7.6,,1018.5,,0,1
2024-01-03 13:00:00,-1.7,82,0.0,,280,9.4,,1019.0,,0,1
2024-01-03 14:00:00,1.1,72,0.0,,290,14.8,,1019.3,,0,2
2024-01-03 15:00:00,2.8,64,0.0,,310,16.6,,1019.1,,0,2
2024-01-03 16:00:00,4.4,57,0.0,,310,16.6,,1018.9,,0,1
2024-01-03 17:00:00,5.6,50,0.0,,300,14.8,,1018.0,,0,1
2024-01-03 18:00:00,6.7,49,0.0,,300,16.6,,1017.3,,0,1
2024-01-03 19:00:00,6.7,49,0.0,,0,0.0,,1016.5,,0,1
2024-01-03 20:00:00,6.7,49,0.0,,280,11.2,,1015.8,,0,2
2024-01-03 21:00:00,6.1,51,0.0,,260,7.6,,1016.4,,0,2
2024-01-03 22:00:00,4.4,57,0.0,,270,5.4,,1016.4,,0,1
2024-01-03 23:00:00,3.9,59,0.0,,260,7.6,,1016.9,,0,1
2024-01-04 00:00:00,1.1,72,0.0,,0,0.0,,1017.0,,0,1
2024-01-04 01:00:00,0.0,78,0.0,,0,0.0,,1016.6,,0,1
2024-01-04 02:00:00,1.1,75,0.0,,0,0.0,,1016.0,,0,3
2024-01-04 03:00:00,1.7,72,0.0,,200,5.4,,1016.2,,0,3
2024-01-04 04:00:00,2.2,73,0.0,,210,5.4,,1016.6,,2,1
2024-01-04 05:00:00,2.2,75,0.0,,0,0.0,,1016.0,,0,3
2024-01-04 06:00:00,1.1,82,0.0,,0,0.0,,1015.6,,8,3
2024-01-04 07:00:00,1.7,82,0.0,,0,0.0,,1014.7,,7,4
2024-01-04 08:00:00,2.2,82,0.0,,110,5.4,,1014.7,,8,4
2024-01-04 09:00:00,1.1,85,0.0,,0,0.0,,1013.9,,6,4
2024-01-04 10:00:00,2.2,85,0.0,,330,9.4,,1013.9,,8,4
2024-01-04 11:00:00,3.3,79,0.0,,190,5.4,,1013.9,,8,4
2024-01-04 12:00:00,2.8,82,0.0,,0,0.0,,1014.4,,8,4
2024-01-04 13:00:00,2.8,82,0.0,,300,11.2,,1014.9,,7,4
2024-01-04 14:00:00,3.3,79,0.0,,300,7.6,,1015.0,,7,4
2024-01-04 15:00:00,3.9,76,0.0,,300,7.6,,1015.5,,8,4
2024-01-04 16:00:00,4.4,70,0.0,,310,11.2,,1015.7,,6,4
2024-01-04 17:00:00,5.6,62,0.0,,330,20.5,,1015.0,,5,3
