{'loss': 8.2528, 'grad_norm': 0.09591274708509445, 'learning_rate': 0.0009975000000000001, 'epoch': 0.0}
{'loss': 7.9605, 'grad_norm': 0.2016216218471527, 'learning_rate': 0.000995, 'epoch': 0.01}       
{'loss': 7.3626, 'grad_norm': 0.29207345843315125, 'learning_rate': 0.0009925000000000001, 'epoch': 0.01}
{'loss': 6.5504, 'grad_norm': 0.31555482745170593, 'learning_rate': 0.00099, 'epoch': 0.01}       
{'loss': 5.7996, 'grad_norm': 0.2519301176071167, 'learning_rate': 0.0009875, 'epoch': 0.01}      
{'loss': 5.3297, 'grad_norm': 0.17162832617759705, 'learning_rate': 0.000985, 'epoch': 0.01}      
{'loss': 5.0594, 'grad_norm': 0.12400315701961517, 'learning_rate': 0.0009825, 'epoch': 0.02}     
{'loss': 4.9193, 'grad_norm': 0.1324145346879959, 'learning_rate': 0.00098, 'epoch': 0.02}        
{'loss': 4.7972, 'grad_norm': 0.10959111154079437, 'learning_rate': 0.0009775, 'epoch': 0.02}     
{'loss': 4.6573, 'grad_norm': 0.13486357033252716, 'learning_rate': 0.000975, 'epoch': 0.03}      
{'loss': 4.5177, 'grad_norm': 0.13528326153755188, 'learning_rate': 0.0009725000000000001, 'epoch': 0.03}
{'loss': 4.2983, 'grad_norm': 0.18026164174079895, 'learning_rate': 0.0009699999999999999, 'epoch': 0.03}
{'loss': 4.0945, 'grad_norm': 0.15802359580993652, 'learning_rate': 0.0009675, 'epoch': 0.03}     
{'loss': 3.8767, 'grad_norm': 0.1860532909631729, 'learning_rate': 0.000965, 'epoch': 0.04}       
{'loss': 3.6629, 'grad_norm': 0.26446306705474854, 'learning_rate': 0.0009625, 'epoch': 0.04}     
{'loss': 3.4742, 'grad_norm': 0.37236008048057556, 'learning_rate': 0.00096, 'epoch': 0.04}       
{'loss': 3.2413, 'grad_norm': 0.20657631754875183, 'learning_rate': 0.0009575, 'epoch': 0.04}     
{'loss': 3.0644, 'grad_norm': 0.30747267603874207, 'learning_rate': 0.000955, 'epoch': 0.04}      
