(pytorch) ubuntu@ip-172-31-57-133:~/chronos-forecasting-oracle/scripts$ CUDA_VISIBLE_DEVICES=0 python training/train.py --config /home/ubuntu/chronos-forecasting-oracle/scripts/training/configs/chronos-tiny-336-48-8_000-alpha.yaml
2024-07-29 15:53:17,556 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - TF32 format is only available on devices with compute capability >= 8. Setting tf32 to False.
2024-07-29 15:53:17,556 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Using SEED: 1231017840
2024-07-29 15:53:17,558 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Logging dir: output/run-0
2024-07-29 15:53:17,558 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Loading and filtering 1 datasets for training: ['/home/ubuntu/chronos-forecasting-oracle/data/agile_octopus_london_alpha_2_weeks.arrow']
2024-07-29 15:53:17,558 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Mixing probabilities: [1.0]
2024-07-29 15:53:17,559 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Initializing model
2024-07-29 15:53:17,559 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Using random initialization
The speedups for torchdynamo mostly come wih GPU Ampere or higher and which is not detected here.
max_steps is given, it will override any value given in num_train_epochs
2024-07-29 15:53:18,170 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Training
{'loss': 8.2534, 'grad_norm': 0.09599218517541885, 'learning_rate': 0.00099375, 'epoch': 0.01}                                              
{'loss': 7.9633, 'grad_norm': 0.2016817182302475, 'learning_rate': 0.0009875, 'epoch': 0.01}                                                
{'loss': 7.3718, 'grad_norm': 0.2907882630825043, 'learning_rate': 0.00098125, 'epoch': 0.02}                                               
{'loss': 6.5707, 'grad_norm': 0.31618112325668335, 'learning_rate': 0.000975, 'epoch': 0.03}                                                
{'loss': 5.8254, 'grad_norm': 0.25588083267211914, 'learning_rate': 0.00096875, 'epoch': 0.03}                                              
{'loss': 5.3516, 'grad_norm': 0.1770234853029251, 'learning_rate': 0.0009625, 'epoch': 0.04}                                                
{'loss': 5.0773, 'grad_norm': 0.1264151632785797, 'learning_rate': 0.0009562500000000001, 'epoch': 0.04}                                    
{'loss': 4.9338, 'grad_norm': 0.139504075050354, 'learning_rate': 0.00095, 'epoch': 0.05}                                                   
{'loss': 4.8138, 'grad_norm': 0.11218240857124329, 'learning_rate': 0.00094375, 'epoch': 0.06}                                              
{'loss': 4.6842, 'grad_norm': 0.1946210116147995, 'learning_rate': 0.0009375, 'epoch': 0.06}                                                
{'loss': 4.5596, 'grad_norm': 0.13227041065692902, 'learning_rate': 0.00093125, 'epoch': 0.07}                                              
{'loss': 4.3587, 'grad_norm': 0.14373864233493805, 'learning_rate': 0.000925, 'epoch': 0.07}                                                
{'loss': 4.1664, 'grad_norm': 0.17127613723278046, 'learning_rate': 0.00091875, 'epoch': 0.08}                                              
{'loss': 3.9638, 'grad_norm': 0.18807174265384674, 'learning_rate': 0.0009125, 'epoch': 0.09}                                               
