(pytorch) ubuntu@ip-172-31-57-133:~/chronos-forecasting-oracle/scripts$ CUDA_VISIBLE_DEVICES=0 python training/train.py --config /home/ubuntu/chronos-forecasting-oracle/scripts/training/configs/chronos-tiny-336-48-8_000-beta.yaml
2024-07-29 16:16:19,423 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - TF32 format is only available on devices with compute capability >= 8. Setting tf32 to False.
2024-07-29 16:16:19,423 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Using SEED: 1527147435
2024-07-29 16:16:19,425 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Logging dir: output/run-1
2024-07-29 16:16:19,425 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Loading and filtering 1 datasets for training: ['/home/ubuntu/chronos-forecasting-oracle/data/agile_octopus_london_beta_2_weeks.arrow']
2024-07-29 16:16:19,425 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Mixing probabilities: [1.0]
2024-07-29 16:16:19,426 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Initializing model
2024-07-29 16:16:19,426 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Using random initialization
The speedups for torchdynamo mostly come wih GPU Ampere or higher and which is not detected here.
max_steps is given, it will override any value given in num_train_epochs
2024-07-29 16:16:20,048 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Training
{'loss': 8.2563, 'grad_norm': 0.09266215562820435, 'learning_rate': 0.00099375, 'epoch': 0.01}                                              
{'loss': 7.9584, 'grad_norm': 0.2014138400554657, 'learning_rate': 0.0009875, 'epoch': 0.01}                                                
{'loss': 7.3603, 'grad_norm': 0.29581573605537415, 'learning_rate': 0.00098125, 'epoch': 0.02}                                              
{'loss': 6.564, 'grad_norm': 0.3109932243824005, 'learning_rate': 0.000975, 'epoch': 0.03}                                                  
{'loss': 5.8346, 'grad_norm': 0.23517319560050964, 'learning_rate': 0.00096875, 'epoch': 0.03}                                              
{'loss': 5.3987, 'grad_norm': 0.15853969752788544, 'learning_rate': 0.0009625, 'epoch': 0.04}                                               
{'loss': 5.1993, 'grad_norm': 0.1467609405517578, 'learning_rate': 0.0009562500000000001, 'epoch': 0.04}                                    
{'loss': 5.1098, 'grad_norm': 0.07835017144680023, 'learning_rate': 0.00095, 'epoch': 0.05}                                                 
{'loss': 5.0399, 'grad_norm': 0.07526788115501404, 'learning_rate': 0.00094375, 'epoch': 0.06}                                              
{'loss': 4.9993, 'grad_norm': 0.07025665044784546, 'learning_rate': 0.0009375, 'epoch': 0.06}                                               
{'loss': 4.9258, 'grad_norm': 0.08182492107152939, 'learning_rate': 0.00093125, 'epoch': 0.07}                                              
{'loss': 4.8437, 'grad_norm': 0.11438523232936859, 'learning_rate': 0.000925, 'epoch': 0.07}                                                
{'loss': 4.742, 'grad_norm': 0.10080917179584503, 'learning_rate': 0.00091875, 'epoch': 0.08}                                               
{'loss': 4.6289, 'grad_norm': 0.11214131116867065, 'learning_rate': 0.0009125, 'epoch': 0.09}                                               
{'loss': 4.4994, 'grad_norm': 0.16700947284698486, 'learning_rate': 0.00090625, 'epoch': 0.09}                                              {'loss': 4.3543, 'grad_norm': 0.1823149472475052, 'learning_rate': 0.0009000000000000001, 'epoch': 0.1}                                     
{'loss': 4.1955, 'grad_norm': 0.276734322309494, 'learning_rate': 0.00089375, 'epoch': 0.11}                                                
{'loss': 4.0265, 'grad_norm': 0.2573646903038025, 'learning_rate': 0.0008874999999999999, 'epoch': 0.11}                                    {'loss': 3.8636, 'grad_norm': 0.2644428312778473, 'learning_rate': 0.00088125, 'epoch': 0.12}                                               
{'loss': 3.6874, 'grad_norm': 0.28038540482521057, 'learning_rate': 0.000875, 'epoch': 0.12}                                                
{'loss': 3.51, 'grad_norm': 0.3641144037246704, 'learning_rate': 0.0008687500000000001, 'epoch': 0.13}                                      
{'loss': 3.321, 'grad_norm': 0.3245958089828491, 'learning_rate': 0.0008625000000000001, 'epoch': 0.14}                                     {'loss': 3.146, 'grad_norm': 0.4304158389568329, 'learning_rate': 0.00085625, 'epoch': 0.14}                                                
{'loss': 2.9626, 'grad_norm': 0.4222780466079712, 'learning_rate': 0.00085, 'epoch': 0.15}                                                  
{'loss': 2.7718, 'grad_norm': 0.4637942910194397, 'learning_rate': 0.00084375, 'epoch': 0.16}                                               
{'loss': 2.5852, 'grad_norm': 0.4194587469100952, 'learning_rate': 0.0008375, 'epoch': 0.16}                                                
{'loss': 2.4254, 'grad_norm': 0.4228289723396301, 'learning_rate': 0.0008312500000000001, 'epoch': 0.17}                                    
{'loss': 2.2558, 'grad_norm': 0.5203415155410767, 'learning_rate': 0.000825, 'epoch': 0.17}                                                 
