(pytorch) ubuntu@ip-172-31-52-9:~/chronos-forecasting-oracle/scripts$ CUDA_VISIBLE_DEVICES=0 python training/train.py --config /home/ubuntu/chronos-forecasting-oracle/scripts/training/configs/chronos-tiny-336-48-8_000-delta.yaml
2024-07-29 16:27:09,292 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - TF32 format is only available on devices with compute capability >= 8. Setting tf32 to False.
2024-07-29 16:27:09,293 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Using SEED: 2106911815
2024-07-29 16:27:09,583 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Logging dir: output/run-1
2024-07-29 16:27:09,583 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Loading and filtering 1 datasets for training: ['/home/ubuntu/chronos-forecasting-oracle/data/agile_octopus_london_delta_2_weeks.arrow']
2024-07-29 16:27:09,583 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Mixing probabilities: [1.0]
2024-07-29 16:27:09,590 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Initializing model
2024-07-29 16:27:09,590 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Using random initialization
config.json: 100%|█████████████████████████████████████████████████████████████████████████████████████████| 628/628 [00:00<00:00, 4.82MB/s]
The speedups for torchdynamo mostly come wih GPU Ampere or higher and which is not detected here.
max_steps is given, it will override any value given in num_train_epochs
2024-07-29 16:27:13,601 - /home/ubuntu/chronos-forecasting-oracle/scripts/training/train.py - INFO - Training
{'loss': 8.2566, 'grad_norm': 0.09138026088476181, 'learning_rate': 0.00099375, 'epoch': 0.01}                                              
{'loss': 7.9609, 'grad_norm': 0.19953685998916626, 'learning_rate': 0.0009875, 'epoch': 0.01}                                               
{'loss': 7.3727, 'grad_norm': 0.2895751893520355, 'learning_rate': 0.00098125, 'epoch': 0.02}                                               
{'loss': 6.6034, 'grad_norm': 0.2968730628490448, 'learning_rate': 0.000975, 'epoch': 0.03}                                                 
{'loss': 5.9262, 'grad_norm': 0.2150256335735321, 'learning_rate': 0.00096875, 'epoch': 0.03}                                               
{'loss': 5.5234, 'grad_norm': 0.15157243609428406, 'learning_rate': 0.0009625, 'epoch': 0.04}                                               
{'loss': 5.3448, 'grad_norm': 0.10137688368558884, 'learning_rate': 0.0009562500000000001, 'epoch': 0.04}                                   
{'loss': 5.2542, 'grad_norm': 0.08540233224630356, 'learning_rate': 0.00095, 'epoch': 0.05}                                                 
{'loss': 5.168, 'grad_norm': 0.0947127640247345, 'learning_rate': 0.00094375, 'epoch': 0.06}                                                
{'loss': 5.0992, 'grad_norm': 0.13966746628284454, 'learning_rate': 0.0009375, 'epoch': 0.06}                                               
{'loss': 4.9959, 'grad_norm': 0.1009388417005539, 'learning_rate': 0.00093125, 'epoch': 0.07}                                               
{'loss': 4.8754, 'grad_norm': 0.1131671592593193, 'learning_rate': 0.000925, 'epoch': 0.07}                                                 
{'loss': 4.7507, 'grad_norm': 0.19532552361488342, 'learning_rate': 0.00091875, 'epoch': 0.08}                                              
{'loss': 4.6097, 'grad_norm': 0.1360848993062973, 'learning_rate': 0.0009125, 'epoch': 0.09}                                                
{'loss': 4.4826, 'grad_norm': 0.20221412181854248, 'learning_rate': 0.00090625, 'epoch': 0.09}                                              
{'loss': 4.3758, 'grad_norm': 0.19258007407188416, 'learning_rate': 0.0009000000000000001, 'epoch': 0.1}                                    
{'loss': 4.2415, 'grad_norm': 0.30267953872680664, 'learning_rate': 0.00089375, 'epoch': 0.11}                                              
{'loss': 4.1297, 'grad_norm': 0.2786795496940613, 'learning_rate': 0.0008874999999999999, 'epoch': 0.11}                                    
{'loss': 4.0004, 'grad_norm': 0.2837270498275757, 'learning_rate': 0.00088125, 'epoch': 0.12}                                               
{'loss': 3.8788, 'grad_norm': 0.2847636044025421, 'learning_rate': 0.000875, 'epoch': 0.12}                                                 
{'loss': 3.7256, 'grad_norm': 0.2835167646408081, 'learning_rate': 0.0008687500000000001, 'epoch': 0.13}                                    
{'loss': 3.6041, 'grad_norm': 0.4061867892742157, 'learning_rate': 0.0008625000000000001, 'epoch': 0.14}                                    
{'loss': 3.4493, 'grad_norm': 0.4506704807281494, 'learning_rate': 0.00085625, 'epoch': 0.14}                                               
{'loss': 3.3141, 'grad_norm': 0.38295015692710876, 'learning_rate': 0.00085, 'epoch': 0.15}                                                 
{'loss': 3.1396, 'grad_norm': 0.3366084694862366, 'learning_rate': 0.00084375, 'epoch': 0.16}                                               
{'loss': 3.0184, 'grad_norm': 0.37830713391304016, 'learning_rate': 0.0008375, 'epoch': 0.16}                                               
{'loss': 2.8551, 'grad_norm': 0.5147254467010498, 'learning_rate': 0.0008312500000000001, 'epoch': 0.17}                                    
{'loss': 2.6755, 'grad_norm': 0.5556796789169312, 'learning_rate': 0.000825, 'epoch': 0.17}                                                 
{'loss': 2.5423, 'grad_norm': 0.5408017039299011, 'learning_rate': 0.00081875, 'epoch': 0.18}                                               
{'loss': 2.3996, 'grad_norm': 0.6320555210113525, 'learning_rate': 0.0008125000000000001, 'epoch': 0.19}                                    
{'loss': 2.2484, 'grad_norm': 0.5493638515472412, 'learning_rate': 0.00080625, 'epoch': 0.19}                                               
{'loss': 2.1258, 'grad_norm': 0.5563056468963623, 'learning_rate': 0.0008, 'epoch': 0.2}                                                    
{'loss': 1.9996, 'grad_norm': 0.492175817489624, 'learning_rate': 0.00079375, 'epoch': 0.21}                                                
{'loss': 1.8931, 'grad_norm': 0.6029841899871826, 'learning_rate': 0.0007875, 'epoch': 0.21}                                                
{'loss': 1.7697, 'grad_norm': 0.5675945281982422, 'learning_rate': 0.00078125, 'epoch': 0.22}                                               
{'loss': 1.7295, 'grad_norm': 0.518579363822937, 'learning_rate': 0.0007750000000000001, 'epoch': 0.23}                                     
{'loss': 1.6211, 'grad_norm': 0.5345386862754822, 'learning_rate': 0.00076875, 'epoch': 0.23}                                               
{'loss': 1.5612, 'grad_norm': 0.5406748056411743, 'learning_rate': 0.0007624999999999999, 'epoch': 0.24}                                    
{'loss': 1.491, 'grad_norm': 0.5253605842590332, 'learning_rate': 0.00075625, 'epoch': 0.24}                                                
{'loss': 1.4281, 'grad_norm': 0.5413185954093933, 'learning_rate': 0.00075, 'epoch': 0.25}                                                  
{'loss': 1.3891, 'grad_norm': 0.48558109998703003, 'learning_rate': 0.00074375, 'epoch': 0.26}                                              
{'loss': 1.3073, 'grad_norm': 0.5942911505699158, 'learning_rate': 0.0007375000000000001, 'epoch': 0.26}                                    
{'loss': 1.2738, 'grad_norm': 0.44143301248550415, 'learning_rate': 0.00073125, 'epoch': 0.27}                                              
{'loss': 1.2397, 'grad_norm': 0.5654096007347107, 'learning_rate': 0.000725, 'epoch': 0.28}                                                 
{'loss': 1.1956, 'grad_norm': 0.5555434226989746, 'learning_rate': 0.00071875, 'epoch': 0.28}                                               
{'loss': 1.1417, 'grad_norm': 0.50776207447052, 'learning_rate': 0.0007125, 'epoch': 0.29}                                                  
