Valid_From_UTC, Valid_To_UTC, Valid_From_Local, Valid_To_Local, Price_Inc_VAT, Price_Ex_VAT
29 Sep 2022 04:30,29 Sep 2022 05:00,29 Sep 2022 05:30,29 Sep 2022 06:00,38.38,36.55
29 Sep 2022 05:00,29 Sep 2022 05:30,29 Sep 2022 06:00,29 Sep 2022 06:30,37.80,36.00
29 Sep 2022 05:30,29 Sep 2022 06:00,29 Sep 2022 06:30,29 Sep 2022 07:00,54.85,52.24
29 Sep 2022 06:00,29 Sep 2022 06:30,29 Sep 2022 07:00,29 Sep 2022 07:30,48.38,46.08
29 Sep 2022 06:30,29 Sep 2022 07:00,29 Sep 2022 07:30,29 Sep 2022 08:00,55.00,52.38
29 Sep 2022 07:00,29 Sep 2022 07:30,29 Sep 2022 08:00,29 Sep 2022 08:30,55.00,52.38
29 Sep 2022 07:30,29 Sep 2022 08:00,29 Sep 2022 08:30,29 Sep 2022 09:00,55.00,52.38
29 Sep 2022 08:00,29 Sep 2022 08:30,29 Sep 2022 09:00,29 Sep 2022 09:30,55.00,52.38
29 Sep 2022 08:30,29 Sep 2022 09:00,29 Sep 2022 09:30,29 Sep 2022 10:00,55.00,52.38
29 Sep 2022 09:00,29 Sep 2022 09:30,29 Sep 2022 10:00,29 Sep 2022 10:30,55.00,52.38
29 Sep 2022 09:30,29 Sep 2022 10:00,29 Sep 2022 10:30,29 Sep 2022 11:00,55.00,52.38
29 Sep 2022 10:00,29 Sep 2022 10:30,29 Sep 2022 11:00,29 Sep 2022 11:30,55.00,52.38
29 Sep 2022 10:30,29 Sep 2022 11:00,29 Sep 2022 11:30,29 Sep 2022 12:00,55.00,52.38
29 Sep 2022 11:00,29 Sep 2022 11:30,29 Sep 2022 12:00,29 Sep 2022 12:30,55.00,52.38
29 Sep 2022 11:30,29 Sep 2022 12:00,29 Sep 2022 12:30,29 Sep 2022 13:00,55.00,52.38
29 Sep 2022 12:00,29 Sep 2022 12:30,29 Sep 2022 13:00,29 Sep 2022 13:30,55.00,52.38
29 Sep 2022 12:30,29 Sep 2022 13:00,29 Sep 2022 13:30,29 Sep 2022 14:00,52.50,50.00
29 Sep 2022 13:00,29 Sep 2022 13:30,29 Sep 2022 14:00,29 Sep 2022 14:30,55.00,52.38
29 Sep 2022 13:30,29 Sep 2022 14:00,29 Sep 2022 14:30,29 Sep 2022 15:00,54.47,51.88
29 Sep 2022 14:00,29 Sep 2022 14:30,29 Sep 2022 15:00,29 Sep 2022 15:30,49.73,47.36
29 Sep 2022 14:30,29 Sep 2022 15:00,29 Sep 2022 15:30,29 Sep 2022 16:00,55.00,52.38
